Jornada,Equipo,Ubicación,Goles Anotados ,Goles En Contra,Resultado,Puntos,Disparos Realizados ,Disparos Recibidos,Disparos a Puerta Realizados,Disparos a Puerta Recibidos,Faltas Cometidas,Faltas Recibidas,Tiros de Esquina a Favor,Tiros de Esquina en Contra,Tarjetas Amarillas ,Tarjetas Rojas
1,Augsburg,Home,2,2,Empate,1,10,12,3,6,11,10,4,2,3,0
1,Dortmund,Home,2,0,Ganado,3,17,7,5,2,6,3,7,7,0,0
1,Freiburg,Home,3,1,Ganado,3,15,9,4,2,7,10,6,3,2,0
1,Hoffenheim,Home,3,2,Ganado,3,20,15,8,6,8,14,8,6,2,0
1,Mainz,Home,1,1,Empate,1,15,15,3,4,9,15,8,9,1,0
1,M'gladbach,Home,2,3,Perdido,0,14,25,7,9,11,7,2,4,1,0
1,RB Leipzig,Home,1,0,Ganado,3,12,10,3,4,9,17,9,3,1,1
1,St Pauli,Home,0,2,Perdido,0,11,6,3,3,10,15,4,2,2,0
1,Wolfsburg,Home,2,3,Perdido,0,11,14,2,8,13,11,1,7,2,0
2,Bayern Munich,Home,2,0,Ganado,3,11,8,4,4,13,12,2,4,1,0
2,Bochum,Home,0,2,Perdido,0,16,15,4,6,9,10,3,4,1,0
2,Ein Frankfurt,Home,3,1,Ganado,3,17,10,7,3,10,10,1,4,0,0
2,Heidenheim,Home,4,0,Ganado,3,17,15,9,1,15,11,5,6,0,0
2,Holstein Kiel,Home,0,2,Perdido,0,12,12,5,4,17,14,1,7,4,0
2,Leverkusen,Home,2,3,Perdido,0,27,10,10,4,7,8,18,2,3,0
2,Stuttgart,Home,3,3,Empate,1,28,9,13,7,6,12,11,2,4,0
2,Union Berlin,Home,1,0,Ganado,3,10,8,5,2,10,11,5,4,3,0
2,Werder Bremen,Home,0,0,Empate,1,5,9,1,4,11,16,5,6,2,0
3,Augsburg,Home,3,1,Ganado,3,18,12,10,3,12,10,7,7,4,0
3,Dortmund,Home,4,2,Ganado,3,13,11,7,4,13,18,8,1,2,0
3,Freiburg,Home,2,1,Ganado,3,27,13,9,2,5,16,5,6,0,0
3,Hoffenheim,Home,1,4,Perdido,0,14,20,5,8,9,10,4,12,2,0
3,Holstein Kiel,Home,1,6,Perdido,0,5,23,1,13,12,11,2,10,0,0
3,Mainz,Home,1,2,Perdido,0,11,11,5,5,12,7,10,4,3,0
3,M'gladbach,Home,1,3,Perdido,0,15,12,7,7,14,12,6,2,2,0
3,RB Leipzig,Home,0,0,Empate,1,16,11,3,3,9,19,6,5,2,0
3,Wolfsburg,Home,1,2,Perdido,0,17,15,4,7,7,18,5,4,1,0
4,Augsburg,Home,2,3,Perdido,0,30,5,9,3,7,12,14,1,3,1
4,Bochum,Home,2,2,Empate,1,14,13,3,4,20,9,2,5,4,0
4,Ein Frankfurt,Home,2,0,Ganado,3,14,22,4,7,10,12,8,5,1,0
4,Heidenheim,Home,0,3,Perdido,0,7,14,2,5,6,7,3,9,1,0
4,Leverkusen,Home,4,3,Ganado,3,20,8,7,4,6,14,6,2,4,0
4,St Pauli,Home,0,0,Empate,1,15,10,4,5,6,9,3,1,2,0
4,Stuttgart,Home,5,1,Ganado,3,16,6,9,3,10,6,6,4,1,0
4,Union Berlin,Home,2,1,Ganado,3,12,6,2,3,17,18,5,5,3,0
4,Werder Bremen,Home,0,5,Perdido,0,0,25,0,7,4,13,1,4,0,0
5,Bayern Munich,Home,1,1,Empate,1,18,3,3,3,11,15,6,1,1,0
5,Dortmund,Home,4,2,Ganado,3,23,10,8,6,12,9,11,0,2,0
5,Freiburg,Home,0,3,Perdido,0,6,10,2,4,7,18,4,2,3,0
5,Hoffenheim,Home,3,4,Perdido,0,10,18,5,10,12,19,2,6,3,1
5,Holstein Kiel,Home,2,4,Perdido,0,10,18,5,10,12,13,4,9,1,0
