Jornada,Equipo,Ubicacion,Goles Anotados ,Goles En Contra,Resultado,Puntos,Disparos Realizados ,Disparos Recibidos,Disparos a Puerta Realizados,Disparos a Puerta Recibidos,Faltas Cometidas,Faltas Recibidas,Tiros de Esquina a Favor,Tiros de Esquina en Contra,Tarjetas Amarillas ,Tarjetas Rojas
1,Ath Bilbao,Home,1,1,Empate,1,7,9,4,2,15,12,5,6,4,0
1,Betis,Home,1,1,Empate,1,19,13,4,2,11,7,4,4,2,0
1,Celta,Home,2,1,Ganado,3,6,10,4,2,8,23,3,3,3,0
1,Las Palmas,Home,2,2,Empate,1,13,16,5,5,12,13,6,3,0,0
1,Mallorca,Home,1,1,Empate,1,12,13,5,4,11,6,8,7,1,0
1,Osasuna,Home,1,1,Empate,1,16,10,5,4,14,12,6,4,3,0
1,Sociedad,Home,1,2,Perdido,0,11,12,5,5,14,21,10,5,2,0
1,Valencia,Home,1,2,Perdido,0,6,18,1,8,11,13,3,8,2,0
1,Valladolid,Home,1,0,Ganado,3,12,10,3,2,15,8,3,2,2,0
1,Villarreal,Home,2,2,Empate,1,8,10,3,5,6,10,2,3,1,0
2,Alaves,Home,0,0,Empate,1,3,13,1,3,16,13,3,8,1,1
2,Ath Madrid,Home,3,0,Ganado,3,11,13,6,5,11,10,1,9,1,0
2,Barcelona,Home,2,1,Ganado,3,13,9,5,2,11,16,5,6,4,0
2,Celta,Home,3,1,Ganado,3,7,13,5,5,9,11,4,7,3,0
2,Espanol,Home,0,1,Perdido,0,13,8,3,4,14,18,7,4,2,0
2,Getafe,Home,0,0,Empate,1,12,3,0,1,16,18,3,2,1,0
2,Leganes,Home,2,1,Ganado,3,10,10,5,5,11,10,3,7,1,0
2,Osasuna,Home,1,0,Ganado,3,15,11,5,2,10,8,5,4,2,0
2,Real Madrid,Home,3,0,Ganado,3,17,8,9,2,10,15,5,5,1,0
2,Sevilla,Home,1,2,Perdido,0,15,6,9,5,15,7,7,2,3,0
3,Ath Bilbao,Home,1,0,Ganado,3,13,2,4,0,14,9,5,3,1,0
3,Ath Madrid,Home,0,0,Empate,1,24,8,7,1,6,9,9,3,0,0
3,Betis,Home,2,1,Ganado,3,18,15,8,5,10,20,8,4,3,0
3,Girona,Home,4,0,Ganado,3,10,1,5,0,10,9,5,0,0,0
3,Las Palmas,Home,1,1,Empate,1,7,25,3,8,16,13,2,6,0,0
3,Mallorca,Home,0,0,Empate,1,12,16,4,7,15,10,5,9,0,0
3,Sociedad,Home,1,2,Perdido,0,8,12,1,5,16,12,8,6,4,1
3,Valladolid,Home,0,0,Empate,1,12,8,2,1,13,19,4,4,1,0
3,Vallecano,Home,1,2,Perdido,0,8,22,4,5,17,11,6,6,3,0
3,Villarreal,Home,4,3,Ganado,3,22,18,9,8,8,6,7,4,4,0
4,Alaves,Home,2,0,Ganado,3,15,12,5,7,13,9,6,5,3,0
4,Ath Bilbao,Home,0,1,Perdido,0,8,9,1,2,13,9,2,2,3,0
4,Barcelona,Home,7,0,Ganado,3,23,5,10,2,6,12,10,1,0,0
4,Espanol,Home,2,1,Ganado,3,10,17,5,5,14,16,3,7,3,0
4,Getafe,Home,0,0,Empate,1,16,1,1,0,14,16,4,1,1,0
4,Leganes,Home,0,1,Perdido,0,4,12,2,3,11,17,1,3,1,0
4,Osasuna,Home,3,2,Ganado,3,10,12,4,3,19,10,6,3,2,0
4,Real Madrid,Home,2,0,Ganado,3,20,12,8,2,8,16,7,3,2,0
4,Sevilla,Home,0,2,Perdido,0,16,11,5,4,6,14,7,5,3,0
4,Valencia,Home,1,1,Empate,1,22,9,6,3,15,11,14,3,3,0
5,Ath Madrid,Home,3,0,Ganado,3,14,5,5,1,10,8,7,3,1,0
5,Betis,Home,2,0,Ganado,3,14,3,5,0,11,18,11,1,1,0
5,Celta,Home,3,1,Ganado,3,14,6,7,1,14,15,5,3,3,0
5,Espanol,Home,3,2,Ganado,3,9,19,4,6,17,14,0,5,2,0
5,Girona,Home,1,4,Perdido,0,9,20,4,9,13,4,1,6,3,0
5,Las Palmas,Home,2,3,Perdido,0,15,9,6,4,8,12,9,3,1,0
5,Mallorca,Home,1,2,Perdido,0,10,21,5,4,11,10,7,6,3,1
5,Sevilla,Home,1,0,Ganado,3,10,15,4,4,19,15,3,4,3,1
5,Sociedad,Home,0,2,Perdido,0,11,16,2,7,12,9,6,6,4,0
5,Vallecano,Home,3,1,Ganado,3,17,5,6,2,12,15,7,4,3,0
6,Alaves,Home,2,1,Ganado,3,10,8,4,2,11,16,3,5,1,0
6,Ath Bilbao,Home,3,1,Ganado,3,10,11,7,4,16,11,3,6,3,0
6,Betis,Home,1,2,Perdido,0,14,6,6,6,12,12,6,3,3,0
6,Getafe,Home,1,1,Empate,1,12,6,3,3,16,17,6,2,3,0
6,Osasuna,Home,2,1,Ganado,3,13,11,2,4,14,11,2,4,2,0
6,Real Madrid,Home,4,1,Ganado,3,31,10,14,2,7,5,9,4,4,0
6,Valencia,Home,2,0,Ganado,3,7,8,2,3,13,10,5,4,3,0
6,Valladolid,Home,0,0,Empate,1,15,14,2,4,15,12,5,7,4,0
6,Vallecano,Home,1,1,Empate,1,15,10,3,5,9,12,3,4,0,0
6,Villarreal,Home,1,5,Perdido,0,13,17,4,10,12,12,7,3,6,0
7,Barcelona,Home,1,0,Ganado,3,16,7,4,1,4,14,7,5,1,0
