Jornada,Equipo,Ubicacion,Goles Anotados ,Goles En Contra,Resultado,Puntos,Disparos Realizados ,Disparos Recibidos,Disparos a Puerta Realizados,Disparos a Puerta Recibidos,Faltas Cometidas,Faltas Recibidas,Tiros de Esquina a Favor,Tiros de Esquina en Contra,Tarjetas Amarillas ,Tarjetas Rojas
1,Arsenal,Home,2,0,Ganado,3,18,9,6,3,8,2,17,14,2,0
2,Arsenal,Away,2,0,Ganado,3,9,11,4,3,1,4,15,8,3,0
3,Arsenal,Home,1,1,Empate,1,11,22,7,4,3,7,12,7,3,1
4,Arsenal,Away,1,0,Ganado,3,7,15,4,5,6,7,10,13,3,0
5,Arsenal,Away,2,2,Empate,1,5,33,3,11,2,8,10,7,4,1
6,Arsenal,Home,4,2,Ganado,3,36,5,16,3,17,0,11,6,2,0
7,Arsenal,Home,3,1,Ganado,3,29,8,6,2,13,1,10,9,0,0
1,Aston Villa,Away,2,1,Ganado,3,15,14,3,3,3,5,11,18,2,0
2,Aston Villa,Home,0,2,Perdido,0,11,9,3,4,4,1,8,15,1,0
3,Aston Villa,Away,2,1,Ganado,3,10,9,5,3,4,1,21,13,5,0
4,Aston Villa,Home,3,2,Ganado,3,17,6,8,2,6,2,10,12,1,0
5,Aston Villa,Home,3,1,Ganado,3,9,10,4,4,6,5,11,16,3,0
6,Aston Villa,Away,2,2,Empate,1,7,15,3,5,0,10,14,10,1,0
7,Aston Villa,Home,0,0,Empate,1,11,10,1,4,6,3,12,11,1,0
1,Bournemouth,Away,1,1,Empate,1,13,14,4,8,6,2,8,17,3,0
2,Bournemouth,Home,1,1,Empate,1,16,14,4,5,8,9,19,8,2,0
3,Bournemouth,Away,3,2,Ganado,3,17,18,7,8,4,8,1,6,1,0
4,Bournemouth,Home,0,1,Perdido,0,19,10,7,3,6,3,16,9,6,0
5,Bournemouth,Away,0,3,Perdido,0,19,19,6,13,9,3,12,10,4,0
6,Bournemouth,Home,3,1,Ganado,3,14,9,6,3,7,4,19,12,2,0
7,Bournemouth,Away,0,1,Perdido,0,17,6,2,2,9,0,14,12,1,0
1,Brentford,Home,2,1,Ganado,3,9,14,5,6,4,7,6,15,1,0
2,Brentford,Away,0,2,Perdido,0,8,19,2,8,4,9,7,10,3,0
3,Brentford,Home,3,1,Ganado,3,20,18,7,6,2,8,10,7,2,0
4,Brentford,Away,1,2,Perdido,0,8,18,5,7,3,12,3,9,1,0
5,Brentford,Away,1,3,Perdido,0,6,23,6,10,4,9,9,11,1,0
6,Brentford,Home,1,1,Empate,1,8,19,3,3,7,7,2,11,2,0
7,Brentford,Home,5,3,Ganado,3,19,17,12,6,10,3,9,10,2,0
1,Brighton,Away,3,0,Ganado,3,10,9,5,1,5,1,8,8,1,0
2,Brighton,Home,2,1,Ganado,3,14,11,5,4,4,4,9,13,1,0
3,Brighton,Away,1,1,Empate,1,22,11,4,7,7,3,7,12,2,0
4,Brighton,Home,0,0,Empate,1,21,6,6,1,9,2,14,16,4,0
5,Brighton,Home,2,2,Empate,1,14,4,3,3,9,1,12,11,3,0
6,Brighton,Away,2,4,Perdido,0,15,15,5,7,2,8,8,11,2,0
7,Brighton,Home,3,2,Ganado,3,11,13,4,3,4,7,14,10,2,0
1,Chelsea,Home,0,2,Perdido,0,10,11,3,5,4,3,12,9,1,0
2,Chelsea,Away,6,2,Ganado,3,14,12,8,4,5,5,13,13,3,0
3,Chelsea,Home,1,1,Empate,1,13,9,7,3,4,5,9,13,4,0
4,Chelsea,Away,1,0,Ganado,3,10,19,3,7,3,6,9,16,8,0
5,Chelsea,Away,3,0,Ganado,3,12,15,5,7,5,6,9,17,2,0
