Jornada,Equipo,Ubicacion,Goles Anotados ,Goles En Contra,Resultado,Puntos,Disparos Realizados ,Disparos Recibidos,Disparos a Puerta Realizados,Disparos a Puerta Recibidos,Faltas Cometidas,Faltas Recibidas,Tiros de Esquina a Favor,Tiros de Esquina en Contra,Tarjetas Amarillas ,Tarjetas Rojas
1,Genoa,Home,2,2,Empate,1,10,14,6,9,15,14,1,4,1,0
1,Parma,Home,1,1,Empate,1,13,14,5,7,15,9,4,9,3,0
1,Empoli,Home,0,0,Empate,1,9,4,1,1,16,19,7,3,0,0
1,Milan,Home,2,2,Empate,1,20,6,6,3,10,7,9,2,2,0
1,Bologna,Home,1,1,Empate,1,22,4,7,2,15,13,7,5,0,0
1,Verona,Home,3,0,Ganado,3,8,15,5,5,15,13,1,5,4,0
1,Cagliari,Home,0,0,Empate,1,12,13,2,3,15,7,5,3,2,0
1,Lazio,Home,3,1,Ganado,3,13,11,6,3,14,11,6,3,1,0
1,Lecce,Home,0,4,Perdido,0,19,10,5,6,10,24,5,3,0,0
1,Juventus,Home,3,0,Ganado,3,12,1,9,1,12,6,3,0,2,0
2,Parma,Home,2,1,Ganado,3,8,17,5,5,9,13,3,9,0,0
2,Verona,Home,0,3,Perdido,0,7,7,1,5,8,8,4,1,2,0
2,Cagliari,Home,1,1,Empate,1,11,13,5,4,12,10,5,6,2,0
2,Udinese,Home,2,1,Ganado,3,8,17,3,5,15,10,4,13,0,1
2,Inter,Home,2,0,Ganado,3,11,10,3,4,9,12,10,6,0,0
2,Monza,Home,0,1,Perdido,0,9,11,2,1,6,17,8,3,2,0
2,Fiorentina,Home,0,0,Empate,1,12,7,8,4,13,19,7,3,1,0
2,Torino,Home,2,1,Ganado,3,13,24,6,8,8,13,4,6,3,0
2,Napoli,Home,3,0,Ganado,3,16,9,5,2,11,17,7,5,2,0
2,Roma,Home,1,2,Perdido,0,17,10,6,3,10,9,8,5,0,0
3,Genoa,Home,0,2,Perdido,0,11,10,1,3,8,16,3,1,2,0
3,Bologna,Home,1,1,Empate,1,14,4,3,2,15,18,6,3,0,0
3,Lazio,Home,2,2,Empate,1,7,10,5,4,12,9,5,7,4,0
3,Lecce,Home,1,0,Ganado,3,17,21,4,2,10,13,7,10,1,1
3,Juventus,Home,0,0,Empate,1,8,7,1,1,11,12,6,4,2,0
3,Udinese,Home,1,0,Ganado,3,10,21,3,4,16,9,4,6,3,0
3,Inter,Home,4,0,Ganado,3,13,11,5,1,6,15,3,4,0,0
3,Fiorentina,Home,2,2,Empate,1,15,4,5,3,11,21,6,0,2,0
3,Napoli,Home,2,1,Ganado,3,29,13,7,2,12,6,6,4,2,0
3,Venezia,Home,0,1,Perdido,0,13,12,4,6,7,15,3,3,2,0
4,Genoa,Home,1,1,Empate,1,20,16,8,6,9,12,4,5,1,0
4,Parma,Home,2,3,Perdido,0,9,18,3,6,8,18,5,6,2,1
